id,name,role,specialty,model,mission,profile,modes,tools,skills,capabilities,preferredTaskTypes,greenlightRequiredFor,maxConcurrentTasks,acceptsBroadcast,plugins,pluginToolsets,mcpServers,wrapper
vehicle-sourcing,Vehicle Sourcing Agent,Custom,Used-vehicle sourcing and listing normalization,gemini-3.1-pro,"Search across vehicle marketplaces, collect structured listing data, pre-filter candidates, and feed only viable vehicles into VeraCar.",vehicle-sourcing,task,terminal|file|web_search|web_extract,swarm-worker-core|vehicle-sourcing-core|fb-marketplace-stealth-scraper|craigslist-jsonld-scraper|scrapling|multi-tier-ai-extraction|agent-browser|browser-harness|veracar-multisource-scraper|webapp-testing|skill-creator|lead-research-assistant|content-research-writer|pm-competitor-profiling|marketing-programmatic-seo,implementation,implementation|analysis,merge|push|destructive,1,true,,,,vehicle-sourcing:task
role-match,Role Match Agent,Custom,High-fit job discovery and ranking,gpt-5.5,"Find job opportunities that fit Blake's background, goals, compensation needs, constraints, and probable interview success.",role-match,task,terminal|file|web_search|web_extract,swarm-worker-core|role-match-core|scrapling|Deep Research|humanizer|startup-architect|goal-tracker|web_search_plus|skill-creator|internal-comms-anthropic|lead-research-assistant|content-research-writer|pm-company-research|pm-ideal-customer-profile,implementation,implementation|analysis,merge|push|destructive,1,true,,,,role-match:task
resume-tailor,Resume Tailoring Agent,Custom,Role-specific resume adaptation and positioning,claude-sonnet-4-6,"Tailor resume bullets, skill emphasis, and positioning for target roles without distorting the truth.",resume-tailor,task,terminal|file|web_search|web_extract,swarm-worker-core|resume-tailor-core|humanizer|output-formatting|made-to-stick|storybrand-messaging|google-workspace|powerpoint|canvas-design|internal-comms-anthropic|tailored-resume-generator|content-research-writer|marketing-copywriting|pm-value-proposition,implementation,implementation|analysis,merge|push|destructive,1,true,,,,resume-tailor:task
application-pack,Application Pack Agent,Custom,Full job application assembly,gpt-5.4-pro,"Build the full application package for each role: resume version, cover note, answers, and follow-up checklist.",application-pack,task,terminal|file|web_search|web_extract,swarm-worker-core|application-pack-core|humanizer|google-workspace|powerpoint|output-formatting|goal-tracker|obsidian|internal-comms-anthropic|anthropic-docx|file-organizer|tailored-resume-generator|pm-sales-enablement|pm-deliver-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,application-pack:task
interview-prep,Interview Prep Agent,Custom,"Interview strategy, question prep, and rehearsal",claude-opus-4-6,"Prepare company-specific briefs, likely interview questions, strong answer drafts, and interview strategy.",interview-prep,task,terminal|file|web_search|web_extract,swarm-worker-core|interview-prep-core|Deep Research|negotiation|humanizer|storybrand-messaging|made-to-stick|startup-architect|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|lead-research-assistant|pm-product-sense|pm-company-research,implementation,implementation|analysis,merge|push|destructive,1,true,,,,interview-prep:task
offer-negotiation,Offer & Negotiation Agent,Custom,Offer analysis and negotiation leverage,gpt-5.5-pro,"Analyze compensation structures, compare offers, identify leverage, and draft negotiation strategy and wording.",offer-negotiation,task,terminal|file|web_search|web_extract,swarm-worker-core|offer-negotiation-core|negotiation|hundred-million-offers|prism-3way|obviously-awesome|goal-tracker|humanizer|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|lead-research-assistant|pm-ai-pricing|pm-value-proposition,implementation,implementation|analysis,merge|push|destructive,1,true,,,,offer-negotiation:task
job-track,Job Search Accountability Agent,Custom,Application pipeline and recruiter follow-through,gpt-5.4-mini,"Keep track of every role, stage, follow-up, recruiter contact, and deadline so the search does not fragment.",job-track,task,terminal|file|web_search|web_extract,swarm-worker-core|job-track-core|goal-tracker|linear|notion|airtable|obsidian|communication-cadence|weekly-review|internal-comms-anthropic|skill-creator|file-organizer|changelog-generator|gtm-metrics|pm-create-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,job-track:task
housing-sourcing,Housing Sourcing Agent,Custom,Rapid rental discovery with by-owner bias,gemini-3.1-pro,"Search aggressively for viable rentals, especially by-owner or flexible-screening options, and maintain a ranked shortlist under time pressure.",housing-sourcing,task,terminal|file|web_search|web_extract,swarm-worker-core|housing-sourcing-core|scrapling|craigslist-jsonld-scraper|maps|agent-browser|browser-harness|Deep Research|web_search_plus|webapp-testing|skill-creator|lead-research-assistant|content-research-writer|pm-company-research|marketing-seo-audit,implementation,implementation|analysis,merge|push|destructive,1,true,,,,housing-sourcing:task
landlord-fit,Landlord Fit Agent,Custom,Screening-fit analysis and owner flexibility detection,claude-sonnet-4-6,Identify which landlords or listing types are likeliest to work with Blake's history and current strengths.,landlord-fit,task,terminal|file|web_search|web_extract,swarm-worker-core|landlord-fit-core|Deep Research|prism-scan|humanizer|negotiation|scrapling|internal-comms-anthropic|skill-creator|lead-research-assistant|meeting-insights-analyzer|pm-ideal-customer-profile|pm-proto-persona,implementation,implementation|analysis,merge|push|destructive,1,true,,,,landlord-fit:task
rental-packet,Rental Packet Agent,Custom,Renter case-file construction and readiness,gpt-5.4-pro,"Build and maintain the strongest possible rental packet with references, income proof, explanation framing, and supporting documents.",rental-packet,task,terminal|file|web_search|web_extract,swarm-worker-core|rental-packet-core|humanizer|google-workspace|powerpoint|output-formatting|made-to-stick|storybrand-messaging|obsidian|canvas-design|internal-comms-anthropic|file-organizer|tailored-resume-generator|marketing-copywriting|pm-sales-enablement,implementation,implementation|analysis,merge|push|destructive,1,true,,,,rental-packet:task
housing-outreach,Housing Outreach Agent,Custom,"Listing inquiries, screening responses, and follow-up",gpt-5.4,"Draft concise, persuasive, honest outreach messages to owners and respond to screening questions with discipline.",housing-outreach,task,terminal|file|web_search|web_extract,swarm-worker-core|housing-outreach-core|humanizer|negotiation|google-workspace|himalaya|made-to-stick|communication-cadence|internal-comms-anthropic|canvas-design|meeting-insights-analyzer|internal-comms-composio|marketing-copywriting|pm-value-proposition,implementation,implementation|analysis,merge|push|destructive,1,true,,,,housing-outreach:task
screening-coach,Screening Objection Coach,Custom,Narrative framing around rental-history objections,claude-sonnet-4-5,"Build clear, credible scripts for discussing eviction history, recovery, and current reliability without rambling or sounding evasive.",screening-coach,task,terminal|file|web_search|web_extract,swarm-worker-core|screening-coach-core|humanizer|negotiation|storybrand-messaging|made-to-stick|prism-reflect|output-formatting|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|lead-research-assistant|marketing-psychology|pm-product-sense,implementation,implementation|analysis,merge|push|destructive,1,true,,,,screening-coach:task
housing-coordinator,Move-Fast Housing Coordinator,Custom,Ten-day housing sprint coordination,gpt-5.5,"Coordinate the housing pod under deadline: what to contact today, which leads are hottest, what docs are missing, and what decisions are time-sensitive.",housing-coordinator,task,terminal|file|web_search|web_extract,swarm-worker-core|housing-coordinator-core|goal-tracker|maps|communication-cadence|weekly-review|cronjob|linear|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|file-organizer|gtm-metrics|pm-deliver-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,housing-coordinator:task
